container_id,shipment_id,container_type,status,current_location
CNT000001,SHP000943,Reefer,Delayed,Singapore Port
CNT000002,SHP001197,40ft,In Transit,Shanghai Port
CNT000003,SHP001835,20ft,Delayed,Durban Port
CNT000004,SHP000833,40ft,Delivered,Rotterdam Port
CNT000005,SHP001909,Reefer,Delayed,Los Angeles Port
CNT000006,SHP001352,40ft,Delayed,Durban Port
CNT000007,SHP000075,40ft,In Transit,Rotterdam Port
CNT000008,SHP000418,20ft,Delayed,Durban Port
CNT000009,SHP002694,20ft,In Transit,Los Angeles Port
CNT000010,SHP000443,Reefer,In Transit,Durban Port
CNT000011,SHP000258,40ft,Delivered,Durban Port
CNT000012,SHP002421,Reefer,Delayed,Durban Port
CNT000013,SHP001712,40ft,Delayed,Durban Port
CNT000014,SHP001351,20ft,Delayed,Hamburg Port
CNT000015,SHP000120,40ft,Delayed,Dubai Port
CNT000016,SHP000099,Reefer,In Transit,Hamburg Port
CNT000017,SHP002267,20ft,In Transit,Shanghai Port
CNT000018,SHP000844,Reefer,Delayed,Hamburg Port
CNT000019,SHP002768,40ft,Delayed,Lagos Port
CNT000020,SHP001198,20ft,Delayed,Rotterdam Port
CNT000021,SHP000276,40ft,Delivered,Singapore Port
CNT000022,SHP001428,40ft,Delivered,Los Angeles Port
CNT000023,SHP000778,Reefer,In Transit,Singapore Port
CNT000024,SHP000050,20ft,Delayed,Los Angeles Port
CNT000025,SHP000103,40ft,Delivered,Dubai Port
CNT000026,SHP002665,40ft,In Transit,Hamburg Port
CNT000027,SHP001896,Reefer,In Transit,Rotterdam Port
CNT000028,SHP000611,40ft,Delivered,Los Angeles Port
CNT000029,SHP001694,Reefer,Delivered,Lagos Port
CNT000030,SHP002410,20ft,In Transit,Shanghai Port
CNT000031,SHP002832,20ft,Delayed,Shanghai Port
CNT000032,SHP000026,20ft,In Transit,Los Angeles Port
CNT000033,SHP002331,20ft,Delivered,Shanghai Port
CNT000034,SHP000372,20ft,In Transit,Hamburg Port
CNT000035,SHP000931,20ft,Delivered,Durban Port
CNT000036,SHP000350,40ft,In Transit,Los Angeles Port
CNT000037,SHP002537,40ft,Delivered,Rotterdam Port
CNT000038,SHP002161,20ft,Delayed,Lagos Port
CNT000039,SHP002062,20ft,Delivered,Rotterdam Port
CNT000040,SHP002406,20ft,Delivered,Durban Port
CNT000041,SHP002476,Reefer,In Transit,Rotterdam Port
CNT000042,SHP001851,40ft,In Transit,Shanghai Port
CNT000043,SHP000907,Reefer,In Transit,Singapore Port
CNT000044,SHP001762,Reefer,Delivered,Los Angeles Port
CNT000045,SHP002219,Reefer,Delivered,Shanghai Port
CNT000046,SHP001356,20ft,Delayed,Lagos Port
CNT000047,SHP002434,40ft,In Transit,Dubai Port
CNT000048,SHP001318,40ft,Delivered,Rotterdam Port
CNT000049,SHP002354,20ft,Delivered,Singapore Port
CNT000050,SHP000431,40ft,Delayed,Shanghai Port
CNT000051,SHP002984,20ft,Delivered,Los Angeles Port
CNT000052,SHP000699,Reefer,Delayed,Durban Port
CNT000053,SHP000694,40ft,Delayed,Shanghai Port
CNT000054,SHP002944,40ft,In Transit,Los Angeles Port
CNT000055,SHP000411,40ft,Delivered,Durban Port
CNT000056,SHP000964,40ft,In Transit,Dubai Port
CNT000057,SHP002595,40ft,Delivered,Rotterdam Port
CNT000058,SHP002163,Reefer,Delivered,Dubai Port
CNT000059,SHP000525,40ft,In Transit,Rotterdam Port
CNT000060,SHP001898,Reefer,Delayed,Los Angeles Port
CNT000061,SHP002060,40ft,Delivered,Shanghai Port
CNT000062,SHP002974,20ft,Delayed,Lagos Port
CNT000063,SHP002519,20ft,Delayed,Shanghai Port
CNT000064,SHP002255,Reefer,Delivered,Dubai Port
CNT000065,SHP002887,20ft,Delivered,Durban Port
CNT000066,SHP000484,20ft,In Transit,Los Angeles Port
CNT000067,SHP002621,20ft,Delayed,Rotterdam Port
CNT000068,SHP001395,Reefer,Delivered,Los Angeles Port
CNT000069,SHP001506,40ft,In Transit,Singapore Port
CNT000070,SHP002847,Reefer,Delivered,Shanghai Port
CNT000071,SHP000669,20ft,Delivered,Lagos Port
CNT000072,SHP002253,40ft,Delayed,Dubai Port
CNT000073,SHP001872,20ft,Delayed,Durban Port
CNT000074,SHP001568,40ft,Delayed,Durban Port
CNT000075,SHP002808,40ft,In Transit,Hamburg Port
CNT000076,SHP002594,Reefer,Delivered,Durban Port
