customer_id,company_name,industry,country,contract_value
CUST000001,Shell Trading,E-commerce,China,8797254.84
CUST000002,Amazon Supply Chain,Retail,Germany,7873231.12
CUST000003,Toyota Logistics,Retail,China,4043457.21
CUST000004,DHL Global,Retail,UAE,1734709.98
CUST000005,Maersk Logistics,E-commerce,UAE,1375725.04
CUST000006,Walmart Imports,E-commerce,Germany,1968857.81
CUST000007,Toyota Logistics,Retail,UK,8781385.78
CUST000008,DHL Global,Oil & Gas,UK,2517983.46
CUST000009,Shell Trading,Manufacturing,China,5880625.01
CUST000010,Toyota Logistics,Retail,China,1875464.63
CUST000011,Nestle Global,Retail,China,9964682.5
CUST000012,Nestle Global,Oil & Gas,UK,4267195.3
CUST000013,Nestle Global,E-commerce,USA,3909491.23
CUST000014,Shell Trading,E-commerce,UAE,1624412.56
CUST000015,DHL Global,Oil & Gas,Germany,6893432.67
CUST000016,Toyota Logistics,Manufacturing,USA,3329831.05
CUST000017,Nestle Global,Retail,Germany,7675162.19
CUST000018,Walmart Imports,E-commerce,USA,1407152.2
CUST000019,Toyota Logistics,Manufacturing,Germany,425344.94
CUST000020,Toyota Logistics,Oil & Gas,UK,726235.04
CUST000021,Toyota Logistics,Manufacturing,China,9848800.27
CUST000022,DHL Global,E-commerce,USA,7250558.29
CUST000023,Walmart Imports,Retail,Germany,4599195.81
CUST000024,DHL Global,Oil & Gas,UK,4918924.67
CUST000025,Samsung Shipping,Manufacturing,UAE,228638.72
CUST000026,DHL Global,Retail,Germany,5386312.41
CUST000027,Walmart Imports,E-commerce,UAE,2301000.91
CUST000028,Shell Trading,Manufacturing,China,8366919.05
CUST000029,Amazon Supply Chain,Retail,UAE,960101.63
CUST000030,Nestle Global,Retail,Germany,4460589.8
CUST000031,Nestle Global,E-commerce,Nigeria,1931394.68
CUST000032,Toyota Logistics,E-commerce,Nigeria,7166846.99
CUST000033,Samsung Shipping,Oil & Gas,Nigeria,7334302.16
CUST000034,Toyota Logistics,Oil & Gas,Nigeria,7739622.98
CUST000035,Maersk Logistics,E-commerce,UK,6720665.57
CUST000036,Shell Trading,Manufacturing,USA,9302801.89
