event_id,shipment_id,delay_reason,delay_days,weather_impact,port_congestion
EVT000001,SHP002757,Weather,14,0.68,0.87
EVT000002,SHP000661,Port Congestion,12,0.73,0.91
EVT000003,SHP002348,Customs,3,0.29,0.1
EVT000004,SHP002879,Weather,8,0.61,0.91
EVT000005,SHP001663,Weather,8,0.71,0.75
EVT000006,SHP000363,Port Congestion,5,0.79,0.45
EVT000007,SHP001778,Mechanical,4,0.44,0.52
EVT000008,SHP000527,Port Congestion,14,0.65,0.55
EVT000009,SHP003000,Port Congestion,7,0.25,0.44
EVT000010,SHP000203,Port Congestion,3,0.11,0.65
EVT000011,SHP000430,Port Congestion,4,0.91,0.13
EVT000012,SHP001528,Customs,6,0.42,0.53
EVT000013,SHP001020,Customs,1,0.3,0.48
EVT000014,SHP000195,Port Congestion,3,0.13,0.68
EVT000015,SHP001679,Mechanical,8,0.79,0.24
EVT000016,SHP000426,Mechanical,11,0.73,0.0
EVT000017,SHP002832,Customs,13,0.67,0.69
EVT000018,SHP002616,Port Congestion,14,0.17,0.37
EVT000019,SHP002495,Mechanical,1,0.36,0.39
EVT000020,SHP001457,Port Congestion,13,0.44,0.03
EVT000021,SHP002232,Mechanical,1,0.88,0.69
EVT000022,SHP000075,Customs,10,0.44,0.35
EVT000023,SHP001047,Weather,1,0.99,0.87
EVT000024,SHP000345,Customs,11,0.4,0.2
EVT000025,SHP001262,Weather,3,0.84,0.7
EVT000026,SHP002834,Port Congestion,3,0.55,0.43
EVT000027,SHP001356,Customs,7,0.77,0.3
EVT000028,SHP000031,Mechanical,7,0.72,0.52
EVT000029,SHP001017,Customs,2,0.38,0.95
EVT000030,SHP002272,Mechanical,11,0.12,0.89
EVT000031,SHP002847,Weather,3,0.86,1.0
EVT000032,SHP000706,Weather,5,0.89,0.43
EVT000033,SHP000228,Weather,6,0.35,0.8
EVT000034,SHP002938,Mechanical,12,0.16,0.08
EVT000035,SHP001506,Port Congestion,3,0.98,0.03
EVT000036,SHP000392,Port Congestion,4,0.92,0.84
EVT000037,SHP001907,Customs,2,0.65,0.13
EVT000038,SHP000609,Weather,2,0.45,0.28
EVT000039,SHP000954,Port Congestion,3,0.69,0.07
EVT000040,SHP001802,Customs,1,0.81,0.79
EVT000041,SHP001330,Port Congestion,2,0.13,0.76
EVT000042,SHP000689,Weather,13,0.43,0.8
EVT000043,SHP000314,Mechanical,12,0.02,0.75
EVT000044,SHP002357,Mechanical,12,0.39,0.01
EVT000045,SHP002333,Mechanical,6,0.8,0.85
EVT000046,SHP002130,Mechanical,8,0.04,0.19
EVT000047,SHP002753,Weather,4,0.65,0.08
EVT000048,SHP002425,Customs,1,0.21,0.34
EVT000049,SHP002488,Customs,14,0.88,0.03
EVT000050,SHP002901,Weather,6,0.09,0.54
EVT000051,SHP002809,Port Congestion,7,0.71,0.09
EVT000052,SHP002529,Port Congestion,3,0.56,0.51
EVT000053,SHP001167,Customs,3,0.12,0.96
EVT000054,SHP002863,Port Congestion,13,0.75,0.71
EVT000055,SHP001363,Port Congestion,10,0.85,0.2
EVT000056,SHP002803,Customs,2,0.93,0.8
EVT000057,SHP002886,Weather,14,0.02,0.11
EVT000058,SHP001433,Weather,6,0.05,0.66
EVT000059,SHP001517,Customs,11,0.22,0.36
EVT000060,SHP001555,Customs,10,0.78,0.18
EVT000061,SHP002438,Customs,7,0.39,0.16
EVT000062,SHP000229,Customs,7,0.43,0.64
EVT000063,SHP001616,Mechanical,3,0.37,0.07
EVT000064,SHP001960,Port Congestion,13,0.41,0.92
EVT000065,SHP002570,Customs,9,0.17,0.03
EVT000066,SHP001048,Customs,8,0.75,0.62
EVT000067,SHP000353,Mechanical,11,0.99,0.34
EVT000068,SHP000856,Customs,11,0.56,0.83
EVT000069,SHP002678,Port Congestion,7,0.27,0.47
EVT000070,SHP002121,Port Congestion,8,0.99,0.51
