date,fuel_price,region
2022-01-10,644.58,Europe
2024-08-12,459.42,Europe
2024-04-26,722.56,Europe
2024-12-20,545.03,Africa
2022-10-23,556.43,Americas
2024-02-04,529.76,Africa
2024-01-20,822.08,Africa
2023-07-21,791.06,Africa
2022-08-04,303.42,Asia
2022-11-30,744.59,Americas
2022-07-26,817.2,Africa
2023-12-04,631.81,Asia
2023-10-09,850.65,Americas
2024-06-16,397.79,Europe
2022-02-03,733.19,Americas
2022-07-06,715.4,Europe
2024-03-30,452.27,Americas
2023-10-28,620.69,Americas
2022-02-26,572.8,Europe
2024-01-29,423.29,Asia
2023-05-07,622.56,Asia
2022-07-21,692.28,Africa
2022-08-03,521.14,Europe
2024-10-22,571.18,Americas
2023-05-06,716.03,Asia
2022-05-28,818.08,Africa
2022-12-10,828.58,Asia
2024-12-11,696.12,Asia
2022-10-14,875.52,Asia
2024-10-24,523.71,Asia
2024-03-01,826.93,Americas
2024-03-23,865.98,Asia
2022-10-10,866.26,Europe
2022-03-27,546.6,Africa
2022-10-11,434.21,Africa
2024-04-20,489.02,Europe
2022-06-17,666.64,Asia
2022-04-05,300.47,Africa
2022-10-21,490.73,Africa
2024-01-18,653.36,Asia
2024-10-31,683.66,Europe
2023-07-11,403.91,Americas
2024-07-11,844.93,Africa
2022-02-10,592.86,Europe
2024-09-27,762.43,Americas
2023-06-29,440.88,Americas
2023-11-27,339.53,Americas
2024-03-17,338.85,Americas
2023-12-18,634.89,Africa
2023-12-01,522.64,Africa
2022-01-08,471.03,Africa
2024-05-30,366.9,Americas
2022-08-16,714.68,Europe
2022-09-19,447.82,Americas
2022-05-05,400.68,Asia
2024-01-28,429.16,Americas
2024-10-20,361.88,Africa
2024-04-07,313.18,Asia
2024-08-02,618.91,Americas
2024-10-05,442.3,Asia
2023-08-02,530.03,Asia
2023-12-28,418.18,Africa
2023-11-03,843.8,Africa
2022-07-05,513.1,Africa
2023-06-30,735.47,Europe
2022-05-12,413.82,Africa
2022-03-02,653.98,Africa
2023-10-03,592.34,Americas
