warehouse_id,product_id,stock_level,inbound,outbound
WH000001,PRD000001,167,3422,4291
WH000002,PRD000002,6770,4337,3949
WH000003,PRD000003,1013,2859,3219
WH000004,PRD000004,2167,3156,685
WH000005,PRD000005,2407,4801,2111
WH000006,PRD000006,4087,2908,2078
WH000007,PRD000007,9160,3628,3474
WH000008,PRD000008,8527,1957,3036
WH000009,PRD000009,5039,4388,4769
WH000010,PRD000010,3226,4190,1834
WH000011,PRD000011,7783,2135,2960
WH000012,PRD000012,7319,3017,2743
WH000013,PRD000013,5395,2262,3858
WH000014,PRD000014,796,4414,1256
WH000015,PRD000015,3678,421,3241
WH000016,PRD000016,1889,2309,4243
WH000017,PRD000017,4146,571,52
WH000018,PRD000018,466,813,2223
WH000019,PRD000019,521,4039,2567
WH000020,PRD000020,1232,4887,2751
WH000021,PRD000021,6601,4674,90
WH000022,PRD000022,3988,3415,768
WH000023,PRD000023,4736,4530,655
WH000024,PRD000024,9586,2906,4493
WH000025,PRD000025,3575,887,3415
WH000026,PRD000026,6921,1835,2214
WH000027,PRD000027,7138,927,3932
WH000028,PRD000028,5482,4847,3498
WH000029,PRD000029,6453,3044,996
WH000030,PRD000030,8296,931,3314
WH000031,PRD000031,4290,505,1834
WH000032,PRD000032,3281,1023,1695
WH000033,PRD000033,2934,2220,1133
WH000034,PRD000034,7132,2102,2447
WH000035,PRD000035,2066,686,1727
WH000036,PRD000036,548,3280,1985
WH000037,PRD000037,7216,3812,4947
WH000038,PRD000038,2048,1228,2004
WH000039,PRD000039,4498,484,2694
WH000040,PRD000040,2750,3634,3941
WH000041,PRD000041,4082,4166,1609
WH000042,PRD000042,2204,782,4536
WH000043,PRD000043,6146,271,2242
WH000044,PRD000044,9975,2417,2070
WH000045,PRD000045,9797,109,1522
WH000046,PRD000046,7251,1607,4077
WH000047,PRD000047,9496,149,1490
WH000048,PRD000048,5267,4762,2006
WH000049,PRD000049,2176,2888,2889
WH000050,PRD000050,7278,1906,120
WH000051,PRD000051,2223,704,1207
WH000052,PRD000052,9002,2035,4447
WH000053,PRD000053,4566,4376,2143
WH000054,PRD000054,2034,747,2216
WH000055,PRD000055,8254,454,4307
WH000056,PRD000056,8245,260,4660
WH000057,PRD000057,163,155,3384
WH000058,PRD000058,171,283,4784
WH000059,PRD000059,8868,3974,541
WH000060,PRD000060,7604,1403,3080
WH000061,PRD000061,1022,852,2632
WH000062,PRD000062,7136,1456,4892
WH000063,PRD000063,6238,601,3046
WH000064,PRD000064,131,91,1021
WH000065,PRD000065,5754,2182,893
WH000066,PRD000066,7579,2982,3923
WH000067,PRD000067,6060,778,49
WH000068,PRD000068,4431,3835,3542
