route_id,origin_port,destination_port,distance_km,average_time_days,fuel_cost
RTE000001,Los Angeles Port,Shanghai Port,1651,19,48566.24
RTE000002,Lagos Port,Singapore Port,9378,8,27656.56
RTE000003,Rotterdam Port,Hamburg Port,18381,7,31252.27
RTE000004,Hamburg Port,Durban Port,9808,36,40799.42
RTE000005,Shanghai Port,Rotterdam Port,10483,23,36331.05
RTE000006,Dubai Port,Singapore Port,6957,24,17885.28
RTE000007,Lagos Port,Los Angeles Port,1686,33,13898.53
RTE000008,Los Angeles Port,Singapore Port,2249,11,45696.92
RTE000009,Rotterdam Port,Lagos Port,6340,13,14722.3
RTE000010,Rotterdam Port,Dubai Port,10251,13,1222.38
RTE000011,Dubai Port,Durban Port,6527,11,47212.16
RTE000012,Los Angeles Port,Los Angeles Port,4118,4,34173.54
RTE000013,Dubai Port,Durban Port,9198,22,17551.47
RTE000014,Hamburg Port,Shanghai Port,10548,14,23089.86
RTE000015,Dubai Port,Hamburg Port,18897,12,22440.33
RTE000016,Hamburg Port,Rotterdam Port,6142,7,11717.05
RTE000017,Rotterdam Port,Hamburg Port,1840,27,21238.68
RTE000018,Singapore Port,Rotterdam Port,4288,25,42067.75
RTE000019,Durban Port,Durban Port,13770,27,14114.27
RTE000020,Lagos Port,Shanghai Port,6326,29,44759.98
RTE000021,Rotterdam Port,Lagos Port,4025,22,24624.61
RTE000022,Lagos Port,Hamburg Port,14770,27,18611.55
RTE000023,Hamburg Port,Rotterdam Port,13828,39,9750.59
RTE000024,Rotterdam Port,Shanghai Port,17714,22,44777.04
RTE000025,Lagos Port,Durban Port,15782,20,4192.01
RTE000026,Dubai Port,Durban Port,19258,15,2527.77
RTE000027,Lagos Port,Lagos Port,6112,3,21659.51
RTE000028,Los Angeles Port,Shanghai Port,2094,10,5360.21
RTE000029,Shanghai Port,Durban Port,10906,16,5106.67
RTE000030,Los Angeles Port,Durban Port,5147,25,48812.36
RTE000031,Lagos Port,Hamburg Port,2638,23,26351.21
RTE000032,Durban Port,Dubai Port,19224,11,16780.29
RTE000033,Dubai Port,Singapore Port,19229,28,30455.5
RTE000034,Singapore Port,Durban Port,3639,15,12836.65
RTE000035,Hamburg Port,Rotterdam Port,16419,19,27397.65
RTE000036,Singapore Port,Rotterdam Port,12043,20,16494.37
RTE000037,Durban Port,Los Angeles Port,2013,39,3663.87
RTE000038,Hamburg Port,Dubai Port,6365,14,24867.33
RTE000039,Shanghai Port,Dubai Port,13773,27,43664.95
RTE000040,Dubai Port,Singapore Port,7012,9,48404.27
RTE000041,Los Angeles Port,Singapore Port,18844,23,43807.18
RTE000042,Rotterdam Port,Lagos Port,5500,23,28942.51
RTE000043,Durban Port,Shanghai Port,1463,34,1918.07
RTE000044,Rotterdam Port,Durban Port,11491,35,12990.05
RTE000045,Los Angeles Port,Durban Port,1684,21,3440.39
RTE000046,Rotterdam Port,Dubai Port,17089,39,14058.23
RTE000047,Los Angeles Port,Los Angeles Port,6721,4,49705.74
RTE000048,Lagos Port,Durban Port,14329,19,45746.52
RTE000049,Los Angeles Port,Durban Port,7571,39,24027.22
RTE000050,Dubai Port,Dubai Port,18632,19,40902.11
RTE000051,Hamburg Port,Singapore Port,3019,19,35243.91
RTE000052,Shanghai Port,Rotterdam Port,3506,15,3131.98
RTE000053,Shanghai Port,Hamburg Port,1156,26,35013.95
RTE000054,Rotterdam Port,Hamburg Port,7897,8,14470.62
RTE000055,Rotterdam Port,Lagos Port,6300,36,49091.47
RTE000056,Los Angeles Port,Los Angeles Port,8254,2,49284.86
RTE000057,Singapore Port,Durban Port,1768,26,12175.66
RTE000058,Singapore Port,Lagos Port,6783,28,24553.25
RTE000059,Dubai Port,Dubai Port,14354,24,37753.36
RTE000060,Los Angeles Port,Dubai Port,1121,34,32803.92
RTE000061,Singapore Port,Singapore Port,12099,20,11879.79
RTE000062,Dubai Port,Rotterdam Port,15803,39,18157.25
RTE000063,Singapore Port,Dubai Port,9879,2,29946.7
RTE000064,Lagos Port,Singapore Port,8079,20,7265.03
RTE000065,Rotterdam Port,Los Angeles Port,18262,36,18903.54
RTE000066,Los Angeles Port,Lagos Port,10379,21,13330.08
RTE000067,Singapore Port,Lagos Port,6520,21,27877.1
RTE000068,Dubai Port,Hamburg Port,12513,2,6602.33
RTE000069,Dubai Port,Singapore Port,16531,16,7980.19
RTE000070,Lagos Port,Lagos Port,4735,5,19925.95
