vessel_id,vessel_name,capacity_teu,fuel_consumption_tpd,current_route,status
VSL000001,Oceanic Titan,13163,66.24,RTE000791,Active
VSL000002,Evergreen,9791,171.5,RTE001872,Docked
VSL000003,Atlantic Carrier,14220,280.48,RTE002368,Active
VSL000004,Evergreen,12873,279.39,RTE000985,Maintenance
VSL000005,Evergreen,9721,107.09,RTE001102,Active
VSL000006,Evergreen,17703,286.74,RTE002796,Maintenance
VSL000007,Oceanic Titan,3752,105.11,RTE002250,Active
VSL000008,Atlantic Carrier,17333,168.38,RTE002750,Maintenance
VSL000009,Atlantic Carrier,10605,92.45,RTE001905,Maintenance
VSL000010,MSC Aurora,6803,291.38,RTE002038,Docked
VSL000011,Maersk Horizon,19125,112.86,RTE002301,Maintenance
VSL000012,Evergreen,13403,206.88,RTE001127,Maintenance
VSL000013,Atlantic Carrier,19681,93.89,RTE002702,Active
VSL000014,Atlantic Carrier,15073,222.58,RTE000648,Maintenance
VSL000015,MSC Aurora,4789,279.61,RTE002140,Active
VSL000016,MSC Aurora,1334,159.65,RTE000405,Docked
VSL000017,Atlantic Carrier,8126,112.52,RTE000333,Docked
VSL000018,Evergreen,7333,92.8,RTE002857,Active
VSL000019,MSC Aurora,8362,293.89,RTE002626,Maintenance
VSL000020,MSC Aurora,1228,298.45,RTE000562,Docked
VSL000021,Evergreen,6212,188.2,RTE002785,Maintenance
VSL000022,Oceanic Titan,3067,275.33,RTE002741,Maintenance
VSL000023,Oceanic Titan,3576,50.22,RTE001903,Active
VSL000024,Evergreen,8708,172.0,RTE000936,Maintenance
VSL000025,MSC Aurora,16205,269.94,RTE000429,Active
VSL000026,Evergreen,10978,205.6,RTE002750,Active
VSL000027,Oceanic Titan,3688,100.06,RTE002721,Active
VSL000028,MSC Aurora,7731,174.1,RTE000587,Active
VSL000029,MSC Aurora,18821,173.08,RTE000450,Docked
VSL000030,Oceanic Titan,1354,120.68,RTE002540,Maintenance
VSL000031,Evergreen,8924,212.32,RTE002669,Active
VSL000032,MSC Aurora,19811,119.81,RTE001966,Maintenance
VSL000033,Atlantic Carrier,13007,299.23,RTE002111,Maintenance
VSL000034,Evergreen,19979,288.71,RTE001115,Active
VSL000035,Oceanic Titan,8904,231.69,RTE001290,Docked
VSL000036,Maersk Horizon,7037,209.56,RTE001543,Maintenance
VSL000037,Atlantic Carrier,7876,206.1,RTE000142,Maintenance
VSL000038,Atlantic Carrier,9603,107.07,RTE002450,Active
VSL000039,MSC Aurora,14749,280.15,RTE000381,Active
VSL000040,MSC Aurora,3496,109.85,RTE000960,Docked
VSL000041,Atlantic Carrier,15008,110.41,RTE002909,Active
VSL000042,MSC Aurora,9070,293.7,RTE002268,Docked
VSL000043,Evergreen,14831,284.35,RTE001430,Active
VSL000044,Atlantic Carrier,6850,241.98,RTE002601,Maintenance
VSL000045,Atlantic Carrier,14837,78.98,RTE001077,Docked
VSL000046,Atlantic Carrier,15978,284.26,RTE002721,Docked
VSL000047,MSC Aurora,6428,56.4,RTE002827,Maintenance
VSL000048,Atlantic Carrier,17413,165.64,RTE002327,Active
VSL000049,MSC Aurora,17644,211.48,RTE000982,Docked
VSL000050,Evergreen,5173,242.9,RTE001637,Active
VSL000051,MSC Aurora,13628,52.99,RTE002875,Active
VSL000052,MSC Aurora,2275,149.4,RTE001775,Maintenance
VSL000053,Atlantic Carrier,12602,237.37,RTE000697,Docked
VSL000054,MSC Aurora,11960,60.48,RTE002540,Docked
VSL000055,Oceanic Titan,9641,159.83,RTE001199,Docked
VSL000056,Oceanic Titan,16574,216.97,RTE001752,Maintenance
VSL000057,Atlantic Carrier,3113,194.2,RTE001150,Maintenance
VSL000058,MSC Aurora,11650,246.49,RTE001158,Docked
VSL000059,Atlantic Carrier,7766,224.32,RTE001196,Docked
VSL000060,Atlantic Carrier,12905,261.19,RTE000108,Maintenance
VSL000061,Maersk Horizon,13299,206.49,RTE001647,Maintenance
VSL000062,Evergreen,7372,234.64,RTE001758,Docked
VSL000063,Evergreen,4163,292.45,RTE000725,Docked
VSL000064,Maersk Horizon,4871,166.55,RTE001851,Docked
VSL000065,Oceanic Titan,14355,287.56,RTE000169,Docked
VSL000066,Atlantic Carrier,2512,71.6,RTE000121,Docked
VSL000067,Atlantic Carrier,2277,229.3,RTE002772,Active
VSL000068,Oceanic Titan,6615,205.4,RTE000896,Maintenance
VSL000069,Atlantic Carrier,18345,175.08,RTE001252,Docked
VSL000070,Atlantic Carrier,15831,68.42,RTE000177,Active
VSL000071,Atlantic Carrier,7528,113.59,RTE001341,Docked
VSL000072,Atlantic Carrier,5256,257.63,RTE002941,Maintenance
VSL000073,MSC Aurora,5714,113.75,RTE000284,Docked
VSL000074,MSC Aurora,3121,89.89,RTE000681,Docked
VSL000075,Atlantic Carrier,4590,79.83,RTE002285,Docked
VSL000076,Atlantic Carrier,7301,178.16,RTE002019,Maintenance
VSL000077,Oceanic Titan,14442,95.78,RTE001782,Maintenance
VSL000078,Maersk Horizon,5002,89.5,RTE000141,Maintenance
VSL000079,Oceanic Titan,7329,88.64,RTE001123,Docked
VSL000080,Evergreen,14791,117.4,RTE000501,Active
VSL000081,MSC Aurora,16528,127.98,RTE001303,Maintenance
VSL000082,Evergreen,9877,62.16,RTE001422,Active
VSL000083,MSC Aurora,8851,117.25,RTE000957,Maintenance
VSL000084,Atlantic Carrier,10238,122.61,RTE001075,Docked
VSL000085,MSC Aurora,12409,94.16,RTE002983,Maintenance
VSL000086,Evergreen,4016,260.97,RTE001813,Active
VSL000087,Atlantic Carrier,1887,248.46,RTE000607,Active
VSL000088,Oceanic Titan,9326,156.37,RTE002172,Docked
VSL000089,Oceanic Titan,4047,91.08,RTE000242,Docked
VSL000090,Maersk Horizon,5212,262.59,RTE000390,Active
VSL000091,Maersk Horizon,14085,140.92,RTE002132,Docked
VSL000092,Oceanic Titan,9833,58.3,RTE002954,Active
VSL000093,MSC Aurora,19754,238.53,RTE001417,Docked
VSL000094,Maersk Horizon,11869,202.34,RTE000215,Maintenance
VSL000095,Maersk Horizon,9271,199.3,RTE000496,Docked
VSL000096,Atlantic Carrier,9352,181.98,RTE002792,Maintenance
VSL000097,Atlantic Carrier,6898,150.82,RTE001111,Maintenance
VSL000098,Maersk Horizon,19687,122.0,RTE000064,Docked
VSL000099,Evergreen,16531,227.7,RTE000778,Maintenance
VSL000100,Evergreen,15118,210.49,RTE002922,Maintenance
VSL000101,Atlantic Carrier,17558,270.41,RTE002141,Active
VSL000102,Atlantic Carrier,2516,250.58,RTE001735,Maintenance
VSL000103,Atlantic Carrier,2161,128.7,RTE000523,Active
VSL000104,Oceanic Titan,19524,163.07,RTE002496,Docked
VSL000105,Maersk Horizon,2587,264.41,RTE002494,Docked
VSL000106,Atlantic Carrier,6985,151.94,RTE002471,Active
VSL000107,Maersk Horizon,14189,252.82,RTE000869,Docked
VSL000108,Atlantic Carrier,19692,247.65,RTE001951,Docked
VSL000109,Evergreen,3717,174.1,RTE001079,Docked
VSL000110,Atlantic Carrier,3507,125.04,RTE000778,Docked
VSL000111,Atlantic Carrier,13250,222.1,RTE002668,Docked
VSL000112,Oceanic Titan,1806,204.56,RTE002525,Active
VSL000113,Evergreen,8192,106.53,RTE002871,Maintenance
VSL000114,Evergreen,11360,73.68,RTE001035,Active
VSL000115,Evergreen,10378,262.82,RTE001162,Maintenance
VSL000116,Maersk Horizon,8313,216.84,RTE002742,Active
VSL000117,Oceanic Titan,7892,183.24,RTE000406,Maintenance
VSL000118,MSC Aurora,1866,255.5,RTE000070,Maintenance
VSL000119,MSC Aurora,16960,185.48,RTE001271,Docked
VSL000120,MSC Aurora,9803,186.56,RTE002278,Active
VSL000121,Evergreen,11763,189.35,RTE001723,Docked
VSL000122,Oceanic Titan,3718,76.93,RTE000649,Docked
VSL000123,Evergreen,3698,79.82,RTE000730,Active
VSL000124,Evergreen,3770,208.35,RTE000303,Maintenance
VSL000125,MSC Aurora,6709,246.97,RTE001528,Maintenance
VSL000126,Maersk Horizon,18131,269.05,RTE002310,Docked
VSL000127,MSC Aurora,11778,260.65,RTE000353,Maintenance
VSL000128,Oceanic Titan,12817,258.92,RTE002337,Docked
VSL000129,Evergreen,19954,93.74,RTE000165,Docked
VSL000130,Maersk Horizon,17098,294.18,RTE002073,Maintenance
VSL000131,Evergreen,2596,228.78,RTE000636,Maintenance
VSL000132,Maersk Horizon,18086,268.26,RTE000849,Maintenance
VSL000133,Evergreen,16610,273.23,RTE002812,Maintenance
VSL000134,Evergreen,13852,121.13,RTE000689,Active
VSL000135,MSC Aurora,5944,231.88,RTE000910,Active
VSL000136,Evergreen,15541,121.33,RTE001577,Active
VSL000137,Atlantic Carrier,9969,129.1,RTE000911,Maintenance
VSL000138,Oceanic Titan,5880,230.22,RTE000822,Maintenance
VSL000139,Evergreen,10956,299.68,RTE001997,Maintenance
VSL000140,Oceanic Titan,15791,76.93,RTE000821,Docked
VSL000141,MSC Aurora,14838,218.48,RTE002438,Docked
VSL000142,Evergreen,16532,98.97,RTE001817,Active
VSL000143,Atlantic Carrier,17021,70.47,RTE001598,Docked
VSL000144,Evergreen,7107,248.33,RTE000648,Maintenance
VSL000145,Maersk Horizon,3404,207.8,RTE002574,Docked
VSL000146,MSC Aurora,17132,124.47,RTE001808,Docked
VSL000147,Atlantic Carrier,14517,183.76,RTE000897,Docked
VSL000148,Maersk Horizon,15025,250.74,RTE001293,Active
VSL000149,MSC Aurora,1251,287.56,RTE002185,Maintenance
VSL000150,Maersk Horizon,1689,206.2,RTE000161,Docked
VSL000151,Evergreen,1313,256.7,RTE001691,Docked
VSL000152,Maersk Horizon,9891,183.21,RTE002831,Maintenance
VSL000153,Atlantic Carrier,16866,176.77,RTE000172,Active
VSL000154,Maersk Horizon,15341,266.56,RTE000405,Docked
VSL000155,MSC Aurora,17188,267.09,RTE000067,Maintenance
VSL000156,Oceanic Titan,18707,67.42,RTE002504,Active
VSL000157,MSC Aurora,12674,140.21,RTE000489,Maintenance
VSL000158,Maersk Horizon,4888,221.08,RTE002689,Maintenance
VSL000159,Oceanic Titan,6000,155.03,RTE001732,Active
VSL000160,Maersk Horizon,4582,174.64,RTE001752,Maintenance
VSL000161,Maersk Horizon,19908,139.43,RTE001448,Active
VSL000162,Evergreen,6120,110.39,RTE002627,Docked
VSL000163,Atlantic Carrier,1015,236.47,RTE001019,Maintenance
VSL000164,Maersk Horizon,3670,250.94,RTE002952,Docked
VSL000165,Atlantic Carrier,6101,183.63,RTE001229,Maintenance
VSL000166,Maersk Horizon,16559,124.99,RTE002876,Maintenance
VSL000167,MSC Aurora,18049,64.64,RTE001351,Active
VSL000168,Evergreen,14498,140.34,RTE002989,Maintenance
VSL000169,Evergreen,18852,197.27,RTE002394,Active
VSL000170,Maersk Horizon,18292,111.14,RTE000518,Maintenance
VSL000171,Oceanic Titan,5644,117.05,RTE002063,Docked
VSL000172,Atlantic Carrier,9478,52.87,RTE001516,Maintenance
VSL000173,Maersk Horizon,7868,70.06,RTE000290,Docked
VSL000174,Evergreen,2692,69.42,RTE001392,Docked
VSL000175,MSC Aurora,2596,104.18,RTE001543,Docked
VSL000176,MSC Aurora,14245,131.94,RTE000951,Docked
VSL000177,MSC Aurora,19268,100.17,RTE001163,Active
VSL000178,MSC Aurora,12572,142.24,RTE002014,Maintenance
VSL000179,Evergreen,7090,274.63,RTE000238,Active
VSL000180,Evergreen,18221,57.84,RTE001673,Docked
VSL000181,MSC Aurora,4502,177.22,RTE002602,Docked
VSL000182,Evergreen,14448,144.54,RTE001297,Active
VSL000183,Maersk Horizon,12975,77.83,RTE002027,Active
VSL000184,MSC Aurora,5231,112.12,RTE002019,Docked
VSL000185,Atlantic Carrier,4696,260.9,RTE000070,Maintenance
VSL000186,Evergreen,8309,200.92,RTE000313,Maintenance
VSL000187,Atlantic Carrier,12204,128.79,RTE002751,Docked
VSL000188,MSC Aurora,11933,100.63,RTE002601,Active
VSL000189,Evergreen,2220,273.01,RTE000894,Maintenance
VSL000190,Oceanic Titan,19293,57.26,RTE002929,Docked
VSL000191,MSC Aurora,7454,67.03,RTE001558,Active
VSL000192,MSC Aurora,10959,236.93,RTE001642,Active
VSL000193,Evergreen,15115,272.47,RTE000186,Docked
VSL000194,MSC Aurora,13960,255.08,RTE000345,Active
VSL000195,Evergreen,10832,168.63,RTE002465,Active
VSL000196,Maersk Horizon,6082,184.62,RTE002603,Active
VSL000197,Evergreen,17334,144.92,RTE001962,Active
VSL000198,Atlantic Carrier,18765,248.02,RTE000674,Maintenance
VSL000199,MSC Aurora,13750,114.77,RTE000984,Active
VSL000200,Oceanic Titan,9140,231.78,RTE002490,Maintenance
VSL000201,MSC Aurora,18206,189.23,RTE001472,Maintenance
VSL000202,Maersk Horizon,11825,84.94,RTE001120,Active
